Date,ABT,ACN,ADBE,AMD,AMZN,AVGO,BAC,BMY,COST,CRM,CSCO,CVX,DHR,DIS,GE,GOOG,HD,HON,IBM,JNJ,JPM,KO,LIN,MA,MCD,META,MRK,MS,MSFT,NEE,NFLX,NKE,PEP,PG,PM,QCOM,SPY,TMO,TSLA,UNP,V,WMT,XOM
7/11/2024,101.2260361,292.6044312,557.6300049,181.9400024,195.0500031,168.3842621,40.58410263,38.39060211,839.8820801,249.2178802,45.2387352,145.257431,244.5466614,95.76545715,160.6865082,186.2386475,343.5104065,196.1270905,170.9644623,143.0119781,201.9122162,60.84047699,428.1310425,433.350647,247.5482178,510.6058044,123.5375061,100.0909729,449.6581726,71.49502563,65.27500153,71.47805023,156.6551361,159.3777466,100.0948792,194.4458771,548.1146851,540.4388428,241.0299988,222.2248383,259.6829529,68.92951202,107.4850464
7/12/2024,101.2649002,305.0159912,559.0499878,181.6100006,194.4900055,167.8630981,40.37055588,38.11738968,836.2212524,252.0462799,45.83857346,145.5661774,244.9736481,96.29088593,157.7986603,185.7215881,349.3165894,196.3644104,175.2982941,143.18396,199.469223,61.4189949,433.8507385,437.01474,246.6738281,496.8322754,122.3784637,99.56488037,448.5209045,72.73926544,64.76000214,71.50726318,158.9770203,160.4078979,101.0004959,196.9561005,551.5718994,545.8164673,248.2299957,223.6822205,262.8380432,68.37649536,107.5040283
7/15/2024,100.5713654,312.1251221,565.710022,179.8300018,192.7200012,169.1985779,40.66176224,37.82534027,842.0050049,250.9447021,45.85791397,147.8583374,244.5069275,96.03313446,158.3444672,187.1236267,348.0447083,196.9212646,175.3462219,142.5725555,204.4428253,61.13937759,431.369873,440.8773804,244.3713074,494.1333313,122.7232895,100.6840286,448.9263611,67.92506409,65.64499664,69.45223999,156.5691376,158.453476,100.1616135,202.5506134,553.0887451,542.4205322,252.6399994,229.2883759,265.5184937,68.74187469,109.3452682
7/16/2024,100.336937,319.1262817,566.539978,177.5500031,193.0200043,167.1850281,42.83608627,38.81454468,844.0288696,254.090683,45.87726593,147.6057434,250.3755798,97.61930847,161.6094208,184.4488525,358.3948975,199.4316101,178.1555176,144.2634583,207.9174805,61.96858215,438.8025513,440.4107056,249.9479218,487.7894287,120.1561813,101.6022949,444.535614,68.81515503,65.63200378,70.91316223,157.4290924,160.7352295,101.1434937,203.9711456,556.3687134,553.1160278,256.5599976,236.157608,266.3097534,69.11714172,110.1330109
7/17/2024,102.2514648,319.7154541,563.0900269,159.4299927,187.9299927,153.9586639,42.69048309,40.65163803,839.574585,249.3171234,46.94147873,150.8428192,249.491806,96.46932983,155.4665833,181.5851746,361.0844421,201.0200043,179.727951,149.5846252,211.0807495,62.87491989,442.3072205,447.98703,253.5717773,460.1029663,120.5872269,102.3101196,438.6021729,67.85807037,64.7460022,71.16638184,162.3308411,163.1325531,103.2502594,186.4189606,548.567688,552.7575073,248.5,236.964035,269.7221375,70.14416504,111.6515732
7/18/2024,97.74841309,322.1702576,556.8499756,155.7700043,183.75,158.4398193,41.74892044,39.93564224,832.7192993,245.4764252,46.47709656,151.5351563,243.0770111,95.95381927,157.5803223,178.2044525,355.4432373,198.7013245,177.5898132,148.4764557,204.374649,62.85564423,439.1077576,445.564209,252.1338654,473.9063416,119.0163116,100.2535934,435.4870911,68.59503174,64.30400085,70.49436188,162.7894592,162.1697998,102.4399643,186.2827454,544.3519897,538.3774414,249.2299957,236.109024,266.2108154,69.93679047,112.752533
7/19/2024,99.66294098,323.2405396,551,151.5800018,183.1300049,155.3109131,41.64214706,40.17116928,831.4890747,245.7543182,45.78051758,148.8968353,241.8357391,94.9128952,157.9177704,178.3734894,352.8022461,195.9079895,175.7009888,147.7790527,204.1800232,62.95205688,437.8377991,440.5695801,249.9576263,474.8425293,120.47229,97.65182495,432.2632141,68.91087341,63.33399963,70.80602264,161.8244019,162.6802216,102.1158524,181.1747131,540.7371826,532.1333618,239.1999969,235.4386139,262.5611267,69.86766052,110.1614914
7/22/2024,101.313736,325.5186462,554.8200073,155.8699951,182.5500031,158.9728241,41.05973816,40.19942856,840.7054443,252.1554565,45.29678726,146.8760071,249.1343231,93.31680298,161.5201111,182.3110504,352.6954956,198.0623474,176.5638885,147.3491516,204.6666565,62.45066833,439.1667786,444.7896729,252.1533203,485.4092102,120.3956528,97.98661041,438.028595,69.77226257,64.75,72.90975189,160.2000732,162.9611053,102.2111893,189.6978302,546.3121948,544.1533203,251.5099945,236.361618,264.7865906,69.50227356,109.4022217
7/23/2024,101.5090866,324.3599548,546.0100098,154,186.4100037,161.6477203,41.16651154,40.4914856,845.3582764,254.1204529,44.85175323,144.1628265,262.3312988,90.15436554,170.6896973,182.5596313,349.17099,198.436615,176.5159607,145.5435944,204.7153473,62.63388062,440.4564209,438.6134033,246.8195801,486.6939087,119.1408234,99.00054169,439.91745,69.01615906,64.27600098,71.48779297,158.8814545,161.3823242,104.4418564,188.1216431,545.4553223,549.9492188,246.3800049,232.6987152,261.898468,69.76891327,107.6368942
7/24/2024,104.7716217,322.7397461,531.039978,144.6300049,180.8300018,149.3787994,40.95296097,42.07421112,824.2369995,247.8880157,45.32580566,145.0796814,263.900238,89.02420807,161.0635986,173.3819275,340.1314697,195.0316467,176.4392548,149.2980194,203.0217896,63.45343399,436.8631592,429.4085999,246.158905,459.3858948,120.6159668,97.53704834,424.1442566,72.17456818,63.59899902,69.23796844,160.6873627,162.7189636,106.2340469,176.1737213,533.0938721,572.3458252,215.9900055,230.638916,251.3944397,69.7195282,109.1554565
